ElementId,Category,Level,RoomName,RoomNumber,Area,RuleViolationCount,AIReadinessPenaltyTotal,BlockingRuleIds,HighImpactRuleCount,MediumImpactRuleCount,AIReadinessScore,AIReadinessLevel,HumanReviewRequired
6FL-301-0074,Room,6FL,PS,301,3.05,0,0,,0,0,100,High,False
7FL-301-0075,Room,7FL,PS,301,3.05,0,0,,0,0,100,High,False
2FL-301-0076,Room,2FL,PS,301,3.1164,0,0,,0,0,100,High,False
2FL-301-0077,Room,2FL,PS,301,2.109,0,0,,0,0,100,High,False
2FL-301-0078,Room,2FL,PS,301,1.16,0,0,,0,0,100,High,False
3FL-301-0079,Room,3FL,PS,301,3.05,0,0,,0,0,100,High,False
3FL-301-0080,Room,3FL,PS,301,3.1164,0,0,,0,0,100,High,False
4FL-301-0081,Room,4FL,PS,301,3.1164,0,0,,0,0,100,High,False
4FL-301-0082,Room,4FL,PS,301,2.109,0,0,,0,0,100,High,False
4FL-301-0083,Room,4FL,PS,301,1.16,0,0,,0,0,100,High,False
5FL-301-0084,Room,5FL,PS,301,3.1164,0,0,,0,0,100,High,False
5FL-301-0085,Room,5FL,PS,301,2.109,0,0,,0,0,100,High,False
5FL-301-0086,Room,5FL,PS,301,1.16,0,0,,0,0,100,High,False
6FL-301-0087,Room,6FL,PS,301,3.1164,0,0,,0,0,100,High,False
6FL-301-0088,Room,6FL,PS,301,2.109,0,0,,0,0,100,High,False
6FL-301-0089,Room,6FL,PS,301,1.16,0,0,,0,0,100,High,False
7FL-301-0090,Room,7FL,PS,301,3.1164,0,0,,0,0,100,High,False
7FL-301-0091,Room,7FL,PS,301,2.109,0,0,,0,0,100,High,False
7FL-301-0092,Room,7FL,PS,301,1.16,0,0,,0,0,100,High,False
1FL-301-0093,Room,1FL,PS,301,4.7142,0,0,,0,0,100,High,False
1FL-301-0094,Room,1FL,PS,301,1.0888,0,0,,0,0,100,High,False
2FL-302-0095,Room,2FL,EPS,302,9.15,0,0,,0,0,100,High,False
2FL-302-0096,Room,2FL,EPS,302,5.61,0,0,,0,0,100,High,False
2FL-302-0097,Room,2FL,EPS,302,2.2,0,0,,0,0,100,High,False
1FL-302-0098,Room,1FL,EPS,302,5.1854,0,0,,0,0,100,High,False
3FL-302-0099,Room,3FL,EPS,302,9.15,0,0,,0,0,100,High,False
3FL-302-0100,Room,3FL,EPS,302,2.2,0,0,,0,0,100,High,False
3FL-302-0101,Room,3FL,EPS,302,5.61,0,0,,0,0,100,High,False
4FL-302-0102,Room,4FL,EPS,302,9.15,0,0,,0,0,100,High,False
4FL-302-0103,Room,4FL,EPS,302,5.61,0,0,,0,0,100,High,False
4FL-302-0104,Room,4FL,EPS,302,2.2,0,0,,0,0,100,High,False
5FL-302-0105,Room,5FL,EPS,302,9.15,0,0,,0,0,100,High,False
5FL-302-0106,Room,5FL,EPS,302,5.61,0,0,,0,0,100,High,False
5FL-302-0107,Room,5FL,EPS,302,2.2,0,0,,0,0,100,High,False
6FL-302-0108,Room,6FL,EPS,302,9.15,0,0,,0,0,100,High,False
6FL-302-0109,Room,6FL,EPS,302,5.61,0,0,,0,0,100,High,False
6FL-302-0110,Room,6FL,EPS,302,2.2,0,0,,0,0,100,High,False
7FL-302-0111,Room,7FL,EPS,302,9.15,0,0,,0,0,100,High,False
7FL-302-0112,Room,7FL,EPS,302,5.61,0,0,,0,0,100,High,False
7FL-302-0113,Room,7FL,EPS,302,2.2,0,0,,0,0,100,High,False
